# These are the 100 K2 stars with the highest RR Lyrae score according to
# Armstrong et al. (2015), obtained from
# https://archive.stsci.edu/k2/hlsp/k2varcat/search.php
#
#  0    = Light curve is overfitted or de-trending introduces spurious signals
#  1    = Star is properly de-trended, preserving amplitude of variability
#  2    = Bad fit, but first order PLD does OK (EVER2 only)
#  3    = Light curve does not exist (K2SC only)
#                                                              
# EPIC     EVER2  EVER1  K2SFF  K2SC
205495245    0      0      0      3
205625849    1      0      0      3
202064530    1      0      0      3
203596245    1      0      0      3
210343581    1      0      0      1
206081848    2      0      0      0
203596258    1      0      0      3
210511418    0      1      0      1
204880394    0      0      0      3
205941274    1      0      0      1
206512511    1      1      1      1
210815465    1      0      0      0
205977366    1      0      0      1
206149993    1      0      0      1
206053592    0      0      0      1
206348448    0      0      0      0
201716883    2      0      0      0
210830646    1      0      0      1
206333750    1      0      0      1
210729707    1      0      0      1
206143954    1      0      0      1
206300006    0      0      0      0
205969073    1      0      0      1
206496528    1      0      0      1
206046073    1      0      0      0
210839363    1      0      0      1
206386591    1      0      0      1
206546449    0      0      0      1
206144794    1      0      0      1
206280713    1      0      0      1
206186422    1      0      0      0
210868876    0      0      0      1
205905693    1      0      0      1
205684710    1      0      0      3
210471429    0      0      0      1
206185368    1      0      0      1
206409426    1      1      0      1
201398311    2      0      0      3
205152526    1      0      0      3
206425155    1      0      0      1
204115101    1      0      0      1
206278951    2      0      0      3
206249670    1      0      0      1
205988265    1      0      0      0
202064491    0      0      0      0
203372915    1      0      0      3
205997155    1      0      0      3
204778376    1      0      0      3
210925792    2      0      0      1
201488452    1      0      0      3
206278551    1      1      1      1
205613964    0      1      0      3
201540013    1      0      0      3
210754711    1      0      0      1
203630276    1      0      0      3
206175324    1      0      0      1
204604359    1      0      0      3
201185922    1      0      0      3
204979833    1      0      0      3
210475866    0      0      0      1
210994946    0      0      0      1
210311535    0      0      0      1
210509604    1      0      0      1
201780233    1      0      0      3
210322126    1      1      0      1
210454384    1      0      0      1
203692906    0      0      0      1
210457607    0      0      0      3
206218857    0      0      0      1
210662654    1      1      1      1
205007882    1      0      0      3
210399040    1      0      0      1
206398985    1      0      0      1
206126731    2      0      0      1
204876991    0      0      0      3
204780832    0      0      0      3
206199823    1      0      0      1
204815607    0      0      0      0
206288771    1      0      0      0
210755194    0      0      0      3
204903894    1      0      0      3
206044837    1      0      0      1
205670640    1      0      0      3
206169907    1      0      0      1
205164324    0      0      0      3
204994280    1      0      0      3
205114328    0      0      0      3
204904480    1      0      1      3
205676611    1      0      0      3
206131351    1      0      0      1
206242361    1      0      0      1
206123963    1      0      0      1
206028072    0      0      0      1
206397568    0      0      0      1
205558024    1      0      0      3
210507908    0      0      0      1
204894780    1      0      0      3
206105536    1      1      0      1
211069629    0      0      0      1
210665016    0      0      0      0
