EPIC               Kp           Raw CDPP     Everest CDPP      Validation        Outliers       Saturated
---------          ------       ---------    ------------      ----------        --------       ---------
205599784          12.228         154.656          29.845          51.311              68               0
205006038          15.352        1045.381         137.252         173.873              27               0
204942133          15.449        2242.636         566.088         673.676              17               0
203923457          17.176      129217.758      102846.557      157767.761              49               0
202854753          14.427         511.257         120.149         168.857               7               0
205694298          12.670         356.080          29.737          44.010              12               0
203844132          13.090         840.438         201.387         275.921              13               0
204341224          11.502         131.206          16.014          27.754             106               1
203019054          14.689        4005.198         100.266         130.924              16               0
204953572          12.207         124.146          18.289          26.776              12               0
204590210          14.373         262.714          71.598          93.252              11               0
202905529          14.259         816.747          99.379         148.787               5               0
205618538          12.397         278.885          53.035          74.681              36               0
203548090          14.023         192.110          55.302          73.665               8               0
203775531          12.817          81.982          16.784          27.570              15               0
204388140          14.185         461.325         158.585         194.157              65               0
203822485          12.562        3419.308        3417.692        3960.532              22               0
204536362          14.327         287.257          64.733          81.457               9               0
203755421          13.681         321.021          45.288          72.447              18               0
204666431          15.652         780.164         127.752         154.585              30               0
203144165          12.467         253.956          28.065          45.488              12               0
202898641          14.117         859.873          89.077         117.764               9               0
204852828          15.478         866.082         190.160         249.895              12               0
204491174          11.933          58.225          20.522          30.616              28               0
204602441          14.495        2225.164         307.596         421.415              19               0
202976097          14.408         557.148          81.950         111.464              18               0
203724639          14.033         227.737          69.211         106.741               8               0
204109155          11.979         400.977          30.788          44.768              11               0
204980115          12.559         178.404         110.526         146.849               0               0
204624141          13.040         622.591         165.064         182.397              63               0
205625357          11.061         465.871          13.291          26.063              49               1
205683265          10.099         201.794          53.829          71.683               2               1
204966558          14.408         768.007         199.590         254.394              75               0
205567646          10.344         169.943          79.479          96.520               1               1
205716541           8.562         104.275          26.504          40.336               2               1
204284515          15.931       18818.978        2937.086        3544.179              30               0
202554603          14.771         782.101         143.501         210.603              19               0
203779568          12.842         549.262         242.328         331.851              92               0
203909699          13.169         290.478          34.516          59.427              29               0
205099673           9.119         698.432          25.887          30.905              26               0
205001070          11.305         304.187          95.067         137.311              68               1
203665945          14.336         406.382          63.768          86.008              17               0
203624492          15.360        5728.160         114.638         214.871              18               0
204952305          15.407         790.511         150.605         179.777              22               0
205190575          15.460         598.146         149.891         191.771              24               0
205160696          15.302         698.183         125.153         173.555              17               0
204861699          12.845         319.883          27.969          42.781              10               0
202696859          11.465        7748.671         107.782         229.615               4               0
204575044          11.507         114.477          16.197          25.941              63               0
205151635          10.914         346.434          15.905          23.694              21               1
204766884          14.512         169.007          58.296          77.056              23               0
203580990          14.871        5766.931         153.995         255.452               7               0
204338784          12.603          72.617          25.275          34.401               3               0
204274743          14.705        4733.431        4450.662        5350.242               0               0
202874068          11.647         560.497         289.572         341.954               0               0
204970248          14.626        1065.240          97.359         133.160              15               0
203691721          13.457         619.809          96.873         129.401               2               0
204980432          11.682         214.373          22.606          34.902               5               1
203782547          14.793         518.303         116.537         177.331              11               0
203935066          15.741       16270.226        8289.520       10098.275              10               0
205548249           8.386         122.340          56.470          70.830               6               1
204206056          11.266         279.495         108.459         150.847               0               0
203655051          10.833         173.569           9.849         128.975             727               0
205211151          11.749         242.653          31.664          55.102               5               0
205033708          13.801         226.273          94.204         119.468               3               0
205671746          12.395         899.862          26.743          45.103              23               0
204084976          14.250        4122.020          83.539         122.444              21               0
203207028          11.632         322.249          17.364          31.942              62               0
205009432          12.473         354.572          22.352          37.361               6               0
204901362          15.476        4011.112         142.548         216.778              27               0
205120632          13.769         177.501          53.887          72.509              15               0
203529462           8.512         270.631          39.043          67.636             158               0
203929548          15.154         603.489         144.001         202.783              12               0
205094917          12.048          78.103          33.724          44.661               3               0
205173377          12.606         803.743          23.983          40.859              14               0
202600948          10.300         167.323          19.959          33.306              63               1
204674504           9.382          76.920          10.968          13.410              71               1
205596590          12.070         109.033          21.796          34.029               6               0
204543256          13.001         163.091          91.578         121.728               1               0
202585031           8.000        1059.490          72.754         143.352             110               0
205197137          12.298         314.931          24.194          40.042               9               0
204790645          14.626         538.617          87.339         118.052              14               0
205022956          11.648         373.047          26.425          37.774               6               0
204197765          14.147         463.288          59.788          83.690               8               0
203847709          13.338         914.193         196.402         259.932              26               0
205195968          14.843        1098.189          95.220         139.931              14               0
204274536          13.028        1349.385         686.032         776.597             248               0
203078471          12.599         235.486          28.495          46.560               8               0
204201216          14.394       15919.635          66.463          96.053             155               0
203797611          14.270        1559.849         329.542         434.383              17               0
202719324           8.181         961.070          39.790          67.513             190               0
205277636          15.600        1522.945         195.049         271.586              25               0
205156982          11.520         390.642         147.427         271.152              20               0
205665025          13.738         495.347         134.610         183.649               1               0
203791447          13.427         476.208          99.224         132.912               2               0
202920370          14.889        5193.594         113.934         147.721              11               0
204756569          14.824         414.211          77.533         107.621              14               0
203387026          13.661         203.417          94.811         124.046               2               0
202685478          12.052        1049.891          23.696          43.087              23               0
205105741          14.668        1466.613          77.902         117.174              19               0
204321428          14.238         730.085         471.472         561.191              14               0
204392224          15.086         533.115         121.577         159.748               4               0
202600756           9.869         741.729         673.400         958.362               0               1
202640521          13.342         428.997          97.123         132.643               5               0
203747590          14.765        1613.393         387.557         462.871              64               0
202613443          11.818         630.562         195.153         240.642               1               0
205214296          15.109         541.028         122.649         154.376              24               0
203103768          14.215         375.957          59.644          87.861              14               0
204931878          13.316         173.758          43.316          57.646               3               0
205168450          11.941         212.860          31.950          51.153               4               0
203458297          14.588         894.772          98.810         127.234              22               0
204976844          15.100         936.193         161.561         198.182              13               0
205463857          12.625         439.783          29.952          47.136               8               0
205625003          14.525         597.135          71.176         104.396              10               0
203758400          10.605         136.905          11.990          23.224              20               1
203645980          12.717        1665.225          19.738          32.984              10               0
203990130          15.248        1938.918         233.963         333.353              28               0
204867503          14.657         404.424          75.607         125.022              14               0
203131032          14.073         688.062         619.001         857.152               0               0
204882892          12.529          71.947          21.062          31.051               6               0
204213455          15.315         808.698         139.530         164.348              16               0
203142849          10.332        1309.901          69.502          81.978               1               1
205143069          14.261         249.311          65.762          93.382              15               0
204750568          15.733        1988.137         124.340         184.835              30               0
205497885          12.199         336.742          22.867          42.434               4               0
204529915          15.179         651.683         131.674         161.271              23               0
202812521          13.387         269.932          55.771          87.356               8               0
204926026          11.705         161.666          31.098          50.942               5               0
203125449          14.530        2109.415         226.583         279.575              65               0
205457839          14.122         514.381          92.448         124.927              19               0
202990244          14.054        2691.264          64.156          92.868              12               0
204159738          15.435        4561.401         215.855         271.422              13               0
203417549          12.704        5323.333        2712.098        4127.200               8               0
204309340          17.420        2998.071         574.032         670.874              24               0
205114348          14.265         339.201          56.448          76.720              14               0
203544427          15.235        3203.637         484.469         618.887              35               0
204410597           9.406          95.840          11.531          15.185              38               1
204928567          13.226         489.615         101.596         144.146               3               0
