# Downloaded from https://archive.stsci.edu/k2/published_planets/search.php on 12/28/2016
#EPIC     Campaign    Kp       N     Radius    Period     Mstar     Rstar     Tstar
201367065     1     11.574     3     0.194     10.054     0.600     0.560     3896
201367065     1     11.574     3     0.165     24.644     0.600     0.560     3896
201367065     1     11.574     3     0.135     44.560     0.600     0.560     3896
201208431     1     14.409     1     0.211     10.003     0.630     0.600     4197
201338508     1     14.364     2     0.170     5.736      0.610     0.570     3930
201338508     1     14.364     2     0.202     10.932     0.610     0.570     3930
201384232     1     12.510     1     0.223     30.942     0.970     0.960     5850
201393098     1     13.054     1     0.238     28.680     0.970     0.960     5772
201445392     1     14.384     2     0.319     10.352     0.780     0.740     4870
201465501     1     14.957     1     0.201     18.450     0.300     0.310     3390
201577035     1     12.296     1     0.343     19.304     0.920     0.980     5620
201596316     1     13.151     1     0.674     39.938     1.350     5.150     5433
201613023     1     12.137     1     0.208     8.282      1.010     1.010     5800
201629650     1     12.727     1     0.169     39.915     0.800     0.780     5698
201635569     1     15.547     1     0.429     8.368      0.470     0.450     3789
201736247     1     14.403     1     0.221     11.810     0.720     0.680     5131
201754305     1     14.298     2     0.180     7.619      0.680     0.660     4742
201754305     1     14.298     2     0.227     19.079     0.680     0.660     4742
201855371     1     12.997     1     0.199     17.968     0.710     0.660     4320
201912552     1     12.473     1     0.200     32.945     0.410     0.390     3503
201505350     1     12.806     3     0.691     7.919      0.930     0.860     5430
201505350     1     12.806     3     0.434     11.907     0.930     0.860     5430
202126852     0     10.900     1     1.466     2.791      1.300     1.430     6566
210490365     4     14.528     1     0.306     3.485      0.290     0.290     3180
206247743     3     10.581     1     0.732     4.605      1.530     3.880     4881
211351816     5     12.409     1     1.310     8.406      1.160     4.200     4790
211391664     5     12.102     1     0.384     10.137     1.070     1.310     6120
210957318     4     13.171     1     1.039     4.099      0.900     0.840     5425
211916756     5     15.498     1     0.310     10.134     0.360     0.400     3471
220383386     8     8.945      2     0.139     0.960      0.880     0.830     5370
220383386     8     8.945      2     0.254     29.845     0.880     0.830     5370
212803289     6     11.014     1     1.290     18.249     1.600     3.100     5990
205117205     2     14.357     1     0.450     5.425      0.560     1.050     3540
212697709     6     12.193     1     1.065     3.952      1.260     1.130     5838
210848071     4     11.040     1     0.199     41.685     0.960     0.930     5766
201637175     1     14.928     1     0.223     0.381      0.600     0.570     3830
206103150     3     11.762     4     1.150     4.161      1.110     1.160     5576
206103150     3     11.762     4     0         580.700    1.110     1.160     5576
206103150     3     11.762     4     0.331     9.095      1.110     1.160     5576
206103150     3     11.762     4     0.162     0.790      1.110     1.160     5576
203771098     2     11.648     2     0.520     20.885     1.120     1.210     5743
203771098     2     11.648     2     0.723     42.363     1.120     1.210     5743
201546283     1     12.428     1     0.397     6.771      0.890     0.850     5320
206318379     3     14.854     1     0.207     2.260      0.260     0.290     3214
201505350     1     12.806     3     0.102     2.509      0.930     0.860     5430
204129699     2     10.607     1     1.060     1.258      0.910     0.780     5280
205071984     2     12.005     3     0.480     8.992      0.870     0.870     5315
205071984     2     12.005     3     0.335     31.719     0.870     0.870     5315
205071984     2     12.005     3     0.310     20.656     0.870     0.870     5315
212110888     5     11.441     1     1.350     2.996      1.280     1.530     6132
206154641     3     11.299     1     1.270     2.484      1.140     1.260     6100
201445392     1     14.384     2     0.215     5.064      0.780     0.740     4870
201549860     1     13.917     2     0.125     2.400      0.760     0.720     4680
201549860     1     13.917     2     0.186     5.609      0.760     0.720     4680
