#CCD well depths by channel for Kepler from
#Table 13 of the instrument handbook
#https://archive.stsci.edu/kepler/manuals/KSCI-19033-001.pdf
#Note that the Kepler exposure time is 6.02 s
#
#CHAN     WELLDEPTH
#----     ---------
1         1.03E+06
2         1.04E+06
3         1.08E+06
4         1.05E+06
5         1.18E+06
6         1.18E+06
7         1.09E+06
8         1.05E+06
9         1.01E+06
10        9.47E+05
11        1.10E+06
12        1.13E+06
13        1.07E+06
14        1.02E+06
15        1.08E+06
16        1.05E+06
17        1.02E+06
18        1.04E+06
19        1.02E+06
20        1.03E+06
21        1.07E+06
22        1.06E+06
23        1.02E+06
24        1.05E+06
25        1.11E+06
26        1.13E+06
27        1.09E+06
28        1.05E+06
29        1.13E+06
30        1.15E+06
31        1.10E+06
32        1.14E+06
33        1.05E+06
34        1.02E+06
35        1.02E+06
36        1.07E+06
37        1.10E+06
38        1.05E+06
39        1.08E+06
40        1.10E+06
41        1.12E+06
42        1.13E+06
43        1.04E+06
44        1.05E+06
45        1.04E+06
46        1.02E+06
47        1.08E+06
48        1.04E+06
49        1.12E+06
50        1.15E+06
51        1.08E+06
52        1.05E+06
53        1.11E+06
54        1.14E+06
55        1.17E+06
56        1.15E+06
57        1.09E+06
58        1.06E+06
59        1.08E+06
60        1.09E+06
61        1.03E+06
62        1.03E+06
63        1.04E+06
64        1.06E+06
65        1.01E+06
66        1.02E+06
67        1.06E+06
68        1.01E+06
69        1.16E+06
70        1.14E+06
71        1.13E+06
72        1.13E+06
73        1.13E+06
74        1.14E+06
75        1.19E+06
76        1.16E+06
77        1.07E+06
78        1.05E+06
79        1.15E+06
80        1.13E+06
81        1.08E+06
82        1.06E+06
83        1.14E+06
84        1.12E+06
