##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 3, 2016, 1:58 a.m.
## Download Date (Y/M/D): 2016/03/22
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;campaign&quot;:[&quot;0&quot;,&quot;1&quot;,&quot;2&quot;,&quot;3&quot;,&quot;4&quot;,&quot;5&quot;,&quot;6&quot;,&quot;7&quot;,&quot;8&quot;,&quot;9&quot;],&quot;kics&quot;:[],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;camp&quot;,&quot;bjd0&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
#KIC,camp,period,bjd0,pwidth,swidth,sep,
201152103,K2C1,0.3080231,1976.437212,0.1456,0.1245,0.5038,
201158453,K2C1,7.0777154,1961.189023,0.0247,0.0243,0.4488,
201160323,K2C1,22.2727586,1975.972148,0.0411,0.0091,0.4117,
201160662,K2C1,1.5368721,1981.059122,0.3269,0.2635,0.4240,
201173390,K2C1,16.9986087,2012.898327,0.0308,0.0288,0.4952,
201182911,K2C1,1.9931114,1984.582706,0.0361,0.0359,0.5017,
201184068,K2C1,1.5885572,1986.288774,0.0529,0.0490,0.4998,
201193666,K2C1,0.4329479,1975.302987,0.1364,0.1320,0.5033,
201246763,K2C1,43.6630000,1962.932724,0.1256,-1.0000,1.0000,
201253025,K2C1,6.7861725,1978.121487,0.0346,0.0410,0.4950,
201338306,K2C1,0.5331869,1968.337499,0.1046,-1.0000,1.0000,
201353434,K2C1,1.0834553,1988.127708,0.0699,0.1349,0.4692,
201379113,K2C1,21.2140704,2005.075135,0.0014,0.0302,0.3779,
201382958,K2C1,1.6020782,1972.720905,0.1636,-1.0000,1.0000,
201386961,K2C1,0.2818235,1991.767618,0.2662,0.2318,0.5137,
201390608,K2C1,9.8132653,1976.045296,0.0146,0.0273,0.4878,
201407812,K2C1,2.8267820,1984.225299,0.0839,-1.0000,1.0000,
201408204,K2C1,8.4819114,2025.343431,0.0214,0.0258,0.6108,
201458798,K2C1,0.6193948,0.904983,0.1204,0.1063,0.5026,
201473612,K2C1,1.3713638,1973.410274,0.1431,0.1179,0.4945,
201488365,K2C1,3.3642645,1981.440815,0.0738,-1.0000,1.0000,
201517854,K2C1,0.2796855,1974.950878,0.2503,0.2354,0.4745,
201523873,K2C1,1.2404089,1983.930611,0.0709,0.0720,0.5024,
201530296,K2C1,10.3434071,1963.209971,0.0117,0.0303,0.2937,
201563514,K2C1,0.4919771,1977.653432,0.2085,0.2469,0.5116,
201567796,K2C1,5.0086131,2003.318745,0.0425,-1.0000,1.0000,
201569483,K2C1,5.7969266,1985.981636,0.0159,-1.0000,1.0000,
201576812,K2C1,5.7282347,1989.669171,0.0209,0.0231,0.5021,
201584594,K2C1,1.5900247,1989.837695,0.0483,-1.0000,1.0000,
201594823,K2C1,1.3006246,1977.933512,0.0798,-1.0000,1.0000,
201607088,K2C1,0.5309077,1974.477205,0.1206,0.1003,0.5017,
201626686,K2C1,5.2801131,1973.086433,0.0302,-1.0000,1.0000,
201637354,K2C1,3.3873632,1983.967973,0.0969,0.0938,0.5010,
201638314,K2C1,5.4298526,1981.659150,0.0148,0.0160,0.4956,
201648133,K2C1,35.0200000,1972.476466,0.0204,0.0242,0.5075,
201665500,K2C1,3.0535202,1990.678955,0.0558,-1.0000,1.0000,
201680569,K2C1,0.7848231,1976.862716,0.0980,0.0952,0.5006,
201691826,K2C1,0.8993926,1982.176607,0.0867,0.0828,0.4992,
201695625,K2C1,0.5843351,1975.226458,0.2227,0.1811,0.4990,
201698669,K2C1,0.3147438,1976.121720,0.1623,0.2829,0.5165,
201704541,K2C1,0.4113754,1975.245176,0.1739,0.1883,0.5019,
201705526,K2C1,18.0940915,2012.626359,0.0118,-1.0000,1.0000,
201711881,K2C1,5.4684625,1975.435014,0.1799,0.2643,0.5107,
201715262,K2C1,1.0540828,1976.008946,0.2020,-1.0000,1.0000,
201720151,K2C1,3.5578386,2010.937281,0.0583,-1.0000,1.0000,
201720463,K2C1,3.5576141,1964.588316,0.0578,-1.0000,1.0000,
201723461,K2C1,22.7282016,2009.725634,0.0234,0.0319,0.3560,
201725399,K2C1,2.1612694,1986.342692,0.1326,0.1184,0.5324,
201734988,K2C1,0.2276534,1972.784808,0.1617,0.1647,0.4995,
201749821,K2C1,1.4021959,1984.879242,0.1499,0.1569,0.5018,
201779067,K2C1,27.2440004,1978.081419,0.0088,-1.0000,1.0000,
201790675,K2C1,33.8303564,1964.274789,0.0052,0.0051,0.3112,
201803365,K2C1,0.2458867,1975.294272,0.1329,0.1160,0.4920,
201810513,K2C1,1.6466409,1978.786728,0.0380,0.0339,0.4995,
201826968,K2C1,0.3617589,1974.234886,0.1451,0.1675,0.5075,
201843069,K2C1,1.0967480,1973.753674,0.0523,0.0549,0.5011,
201845690,K2C1,1.3956603,1991.519838,0.1765,-1.0000,1.0000,
201848566,K2C1,0.4784180,1967.231278,0.1173,-1.0000,1.0000,
201862715,K2C1,2.6556947,1988.784627,0.0459,-1.0000,1.0000,
201878595,K2C1,1.9362456,1990.961207,0.0852,0.0889,0.4999,
201880016,K2C1,0.6130467,1981.753435,0.0705,0.0946,0.5034,
201890494,K2C1,2.5365699,1964.731292,0.0418,0.0470,0.5026,
201893576,K2C1,0.9298145,1986.465714,0.0613,0.0641,0.5004,
201921381,K2C1,0.5602036,1974.801617,0.1176,0.1653,0.4302,
201921596,K2C1,0.5112728,1969.430948,0.2825,-1.0000,1.0000,
201927024,K2C1,0.2373004,1977.017991,0.2343,0.3098,0.5297,
202059360,K2C0,3.6748011,56775.511619,0.0956,0.2866,0.4789,
202059377,K2C0,1.5768817,56775.706981,0.1030,-1.0000,1.0000,
202059416,K2C0,0.9011917,54998.361711,0.1580,-1.0000,1.0000,
202060124,K2C0,4.2850464,56776.012739,0.1270,0.1328,0.4967,
202060135,K2C0,2.8653788,56777.688984,0.1065,0.0764,0.4944,
202060198,K2C0,3.4069191,56775.544797,0.0660,-1.0000,1.0000,
202060506,K2C0,1.9597757,56775.812284,0.1017,0.1141,0.5145,
202060523,K2C0,16.4090275,56780.269498,0.0165,-1.0000,1.0000,
202060541,K2C0,4.0491598,56777.421978,0.2205,-1.0000,1.0000,
202060551,K2C0,16.4969984,56779.198905,0.0239,0.0241,0.5151,
202060577,K2C0,1.0194498,56772.467799,0.1428,-1.0000,1.0000,
202060752,K2C0,0.7703913,56774.406170,0.0860,0.1310,0.5008,
202060800,K2C0,3.2620316,56773.682064,0.0244,0.3084,0.0000,
202060911,K2C0,7.0249772,56778.840625,0.0257,0.0303,0.5006,
202061000,K2C0,5.8690571,56776.019380,0.0446,0.3190,0.0000,
202061814,K2C0,1.0217013,56774.973385,0.2036,-1.0000,1.0000,
202062154,K2C0,13.6435000,56777.090000,0.1478,0.2939,0.4981,
202062176,K2C0,4.3542498,56775.892256,0.0489,0.0315,0.2367,
202062450,K2C0,4.4468214,55001.952471,0.0873,0.0923,0.5054,
202063160,K2C0,9.0697953,56776.045102,0.0589,0.0603,0.5004,
202063828,K2C0,1.2435284,56776.274084,0.1206,0.0653,0.4732,
202064026,K2C0,4.0679089,56777.046479,0.0950,0.0813,0.5005,
202064080,K2C0,18.6700000,56783.860700,-1.0000,-1.0000,-1.0000,
202064253,K2C0,21.1403000,56777.993000,0.0088,-1.0000,1.0000,
202064535,K2C0,0.5083746,56774.520671,0.1688,0.1390,0.5009,
202064549,K2C0,9.7634435,56777.798547,0.0171,0.0204,0.5006,
202065543,K2C0,1.4464988,56774.510843,0.1098,0.1095,0.5020,
202065802,K2C0,2.4885626,56775.794364,0.1671,-1.0000,1.0000,
202065819,K2C0,5.7440892,56776.237021,0.0273,-1.0000,1.0000,
202065879,K2C0,7.8384894,56777.569717,0.0267,0.0265,0.4911,
202066394,K2C0,3.1863622,56774.776353,0.0450,0.0381,0.4911,
202066699,K2C0,2.2158123,56775.036467,0.0773,0.0805,0.5013,
202066811,K2C0,1.6965832,56775.291579,0.0914,0.1041,0.4858,
202068686,K2C0,8.7533663,56780.150403,0.0246,0.0313,0.5166,
202068807,K2C0,4.2448425,56775.138904,0.0477,0.0459,0.6407,
202071266,K2C0,2.5936207,56777.170177,0.2726,-1.0000,1.0000,
202071279,K2C0,0.3506658,54999.639170,0.1570,0.1593,0.4973,
202071293,K2C0,0.5729298,56774.628306,0.1365,0.1282,0.5017,
202071505,K2C0,3.5554582,56775.778484,0.0400,0.0361,0.3162,
202071579,K2C0,3.1274198,56774.420657,0.0500,0.0462,0.4997,
202071631,K2C0,3.4737557,56770.045045,0.0986,0.1953,0.4796,
202071635,K2C0,6.2702903,56775.431821,0.0289,-1.0000,1.0000,
202071731,K2C0,2.7402551,56775.070483,0.0803,0.0827,0.5005,
202071828,K2C0,4.7083283,56775.001163,0.1005,-1.0000,1.0000,
202071842,K2C0,4.1681056,56776.092056,0.0332,0.0345,0.5014,
202071994,K2C0,4.0510732,56778.043895,0.0651,0.0807,0.3488,
202072061,K2C0,2.1004240,56775.649793,0.0610,0.0655,0.5009,
202072282,K2C0,5.9775239,56772.337630,0.0849,-1.0000,1.0000,
202072430,K2C0,20.0076182,56776.982000,0.0137,0.0173,0.8683,
202072451,K2C0,11.3078344,56782.962282,0.0306,0.0287,0.5031,
202072485,K2C0,14.6300000,56776.246900,0.0138,0.0322,0.3338,
202072486,K2C0,2.9216151,56776.320060,0.0622,0.0198,0.4778,
202072502,K2C0,1.9236950,56774.479102,0.1160,0.1234,0.5006,
202072563,K2C0,2.1237482,56775.482420,0.0686,0.0705,0.5025,
202072596,K2C0,3.9795998,56776.883052,0.0410,-1.0000,1.0000,
202072929,K2C0,3.0537029,55001.995337,0.0848,0.0742,0.4979,
202072932,K2C0,3.1329715,56774.547086,0.0427,0.0466,0.5000,
202072933,K2C0,3.1444289,56777.454942,0.0499,-1.0000,1.0000,
202072941,K2C0,12.4471806,56783.090036,0.0628,0.1627,0.5037,
202072958,K2C0,4.0247135,56775.669356,0.0600,0.0601,0.5002,
202072961,K2C0,4.0970235,56780.408406,0.0488,0.0481,0.5034,
202072962,K2C0,4.1680796,56776.070524,0.0328,0.0323,0.4988,
202072963,K2C0,4.2099125,56774.529230,0.0585,0.0583,0.4563,
202072971,K2C0,4.3991568,56777.308529,0.1323,0.1342,0.5075,
202072978,K2C0,4.8845318,56777.703321,0.0996,0.0744,0.4951,
202072988,K2C0,5.3224612,56779.102278,0.1042,0.1003,0.4866,
202072991,K2C0,5.4955290,56778.362008,0.0600,0.0616,0.4991,
202073004,K2C0,6.1543378,56779.519058,0.1213,0.1101,0.5009,
202073035,K2C0,21.4100000,56778.590000,0.2231,0.2097,0.5005,
202073040,K2C0,2.1214102,56774.471613,0.0934,0.0920,0.5008,
202073061,K2C0,2.4821905,56776.578752,0.1102,0.0831,0.5054,
202073063,K2C0,2.4124493,56775.864113,0.0671,0.0610,0.4203,
202073067,K2C0,2.3492385,56776.214916,0.1450,0.0948,0.5029,
202073068,K2C0,2.3347944,56775.635769,0.1161,0.1139,0.4686,
202073074,K2C0,2.2432674,56775.685068,0.0903,0.0977,0.5009,
202073088,K2C0,0.8241508,56774.346707,0.1123,0.1073,0.4977,
202073096,K2C0,1.9602300,56776.494717,0.2826,0.3042,0.4966,
202073097,K2C0,0.9723687,56774.594837,0.1254,-1.0000,1.0000,
202073117,K2C0,1.7622768,56775.965047,0.1533,0.1420,0.5039,
202073121,K2C0,4.2014989,56777.509517,0.0929,0.0801,0.4976,
202073124,K2C0,1.6777022,56775.340393,0.1082,0.0981,0.4999,
202073144,K2C0,1.5506101,56774.783971,0.0834,0.0816,0.4988,
202073145,K2C0,1.5166448,56774.588803,0.0999,0.1134,0.4755,
202073160,K2C0,1.4129232,56775.469919,0.1219,0.1007,0.4919,
202073161,K2C0,1.4036368,56775.307997,0.0939,0.0990,0.5005,
202073174,K2C0,1.2884388,56774.714875,0.1418,0.1267,0.5022,
202073175,K2C0,1.2811667,56774.801927,0.0968,0.0971,0.5029,
202073185,K2C0,0.6124782,56774.766610,0.2231,-1.0000,1.0000,
202073186,K2C0,1.2248292,56774.797274,0.1127,0.1146,0.4997,
202073203,K2C0,1.1980148,56775.499770,0.1975,-1.0000,1.0000,
202073207,K2C0,1.0503292,56775.771581,0.1313,-1.0000,1.0000,
202073210,K2C0,1.0250708,56775.048871,0.0893,0.0949,0.4995,
202073217,K2C0,0.9411349,56774.318312,0.1497,0.1160,0.5064,
